problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass,cand_11_codebleu,cand_11_compile,cand_11_pass,cand_12_codebleu,cand_12_compile,cand_12_pass,cand_13_codebleu,cand_13_compile,cand_13_pass,cand_14_codebleu,cand_14_compile,cand_14_pass,cand_15_codebleu,cand_15_compile,cand_15_pass,cand_16_codebleu,cand_16_compile,cand_16_pass,cand_17_codebleu,cand_17_compile,cand_17_pass,cand_18_codebleu,cand_18_compile,cand_18_pass,cand_19_codebleu,cand_19_compile,cand_19_pass,cand_20_codebleu,cand_20_compile,cand_20_pass,cand_21_codebleu,cand_21_compile,cand_21_pass,cand_22_codebleu,cand_22_compile,cand_22_pass,cand_23_codebleu,cand_23_compile,cand_23_pass,cand_24_codebleu,cand_24_compile,cand_24_pass,cand_25_codebleu,cand_25_compile,cand_25_pass
30,dart,1953,0.43569,0,0,0.33015,0,0,0.40871,0,0,0.35125,0,0,0.3435,0,0,0.32895,0,0,0.46979,0,0,0.35157,0,0,0.31245,0,0,0.37932,0,0,0.38095,0,0,0.43072,0,0,0.3602,0,0,0.15614,0,0,0.36472,0,0,0.31655,0,0,0.43242,0,0,0.3233,0,0,0.48248,0,0,0.34745,0,0,0.47621,0,0,0.40581,0,0,0.36464,0,0,0.38863,0,0,0.33968,0,0
31,dart,1538,0.39929,0,0,0.40777,0,0,0.47433,0,0,0.36984,0,0,0.37619,0,0,0.46735,0,0,0.4604,0,0,0.38834,0,0,0.36813,0,0,0.36546,0,0,0.40374,0,0,0.42232,0,0,0.49123,0,0,0.34899,0,0,0.35995,0,0,0.47598,0,0,0.36644,0,0,0.3883,0,0,0.44243,0,0,0.36522,0,0,0.46584,0,0,0.40898,0,0,0.4065,0,0,0.38538,0,0,0.38242,0,0
32,dart,1938,0.05291,0,0,0.30342,0,0,0.28045,0,0,0.36302,0,0,0.33659,0,0,0.36248,0,0,0.33147,0,0,0.30749,0,0,0.02512,0,0,0.38284,0,0,0.30946,0,0,0.31588,0,0,0.30364,0,0,0.29102,0,0,0.04636,0,0,0.35492,0,0,0.35172,0,0,0.30644,0,0,0.31174,0,0,0.3354,0,0,0.32218,0,0,0.27409,0,0,0.36,0,0,0.36921,0,0,0.32256,0,0
33,dart,1822,0.38652,0,0,0.36512,0,0,0.31339,0,0,0.36166,0,0,0.40841,0,0,0.40598,0,0,0.34756,0,0,0.41236,0,0,0.31419,0,0,0.31785,0,0,0.2959,0,0,0.32324,0,0,0.4235,0,0,0.30073,0,0,0.31028,0,0,0.30451,0,0,0.34959,0,0,0.36333,0,0,0.38459,0,0,0.35399,0,0,0.34756,0,0,0.2865,0,0,0.33048,0,0,0.33046,0,0,0.35,0,0
34,dart,2127,0.32586,0,0,0.41274,0,0,0.33071,0,0,0.32459,0,0,0.31908,0,0,0.37418,0,0,0.31484,0,0,0.37511,0,0,0.30705,0,0,0.30028,0,0,0.36086,0,0,0.3112,0,0,0.37002,0,0,0.31873,0,0,0.3151,0,0,0.33974,0,0,0.32475,0,0,0.33357,0,0,0.34114,0,0,0.3817,0,0,0.31504,0,0,0.34004,0,0,0.41458,0,0,0.30027,0,0,0.31364,0,0
35,dart,1773,0.32987,0,0,0.29341,0,0,0.37108,0,0,0.33836,0,0,0.35138,0,0,0.31762,0,0,0.35336,0,0,0.38306,0,0,0.46426,0,0,0.35047,0,0,0.30815,0,0,0.32998,0,0,0.36258,0,0,0.31334,0,0,0.40652,0,0,0.3581,0,0,0.37065,0,0,0.35471,0,0,0.34351,0,0,0.37546,0,0,0.31249,0,0,0.34558,0,0,0.41965,0,0,0.36694,0,0,0.32144,0,0
36,dart,1979,0.3573,0,0,0.42919,0,0,0.3894,0,0,0.35976,0,0,0.37452,0,0,0.43206,0,0,0.38062,0,0,0.40938,0,0,0.36628,0,0,0.43548,0,0,0.38002,0,0,0.37567,0,0,0.41512,0,0,0.48942,0,0,0.46678,0,0,0.38508,0,0,0.39441,0,0,0.44404,0,0,0.42832,0,0,0.39734,0,0,0.407,0,0,0.35553,0,0,0.4879,0,0,0.45489,0,0,0.37452,0,0
37,dart,2041,0.40761,0,0,0.41874,0,0,0.44314,0,0,0.37944,0,0,0.39243,0,0,0.35171,0,0,0.43197,0,0,0.46822,0,0,0.36295,0,0,0.40844,0,0,0.37361,0,0,0.47412,0,0,0.33285,0,0,0.37323,0,0,0.41924,0,0,0.41797,0,0,0.35785,0,0,0.31776,0,0,0.41601,0,0,0.42142,0,0,0.41345,0,0,0.40891,0,0,0.46093,0,0,0.36956,0,0,0.37186,0,0
38,dart,2299,0.3143,0,0,0.34957,0,0,0.31828,0,0,0.38366,0,0,0.37663,0,0,0.43595,0,0,0.37909,0,0,0.32785,0,0,0.31616,0,0,0.36555,0,0,0.39571,0,0,0.40421,0,0,0.35805,0,0,0.36066,0,0,0.336,0,0,0.33005,0,0,0.34075,0,0,0.37773,0,0,0.32734,0,0,0.41341,0,0,0.3939,0,0,0.38132,0,0,0.32484,0,0,0.34773,0,0,0.39362,0,0
39,dart,408,0.31395,0,0,0.31924,0,0,0.31998,0,0,0.36336,0,0,0.40239,0,0,0.35511,0,0,0.35621,0,0,0.36518,0,0,0.30462,0,0,0.33461,0,0,0.37388,0,0,0.33115,0,0,0.36388,0,0,0.07268,0,0,0.41068,0,0,0.44582,0,0,0.32567,0,0,0.35806,0,0,0.31374,0,0,0.31682,0,0,0.41836,0,0,0.35689,0,0,0.29848,0,0,0.35135,0,0,0.29,0,0
